word_us,word_gb,lexical_category,cefr,definition_url_oxford,definition_url_cambridge,ipa_us,ipa_gb,definition,example,audio_source_us,audio_source_gb
absent,absent,adjective,c1,https://www.oxfordlearnersdictionaries.com/definition/english/absent_1,https://dictionary.cambridge.org/dictionary/english/absent,"[""/ˈæbsənt/""]","[""/ˈæbsənt/""]","not in a place because of illness, etc.",She was absent from work for two weeks.,"[""https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abs/absen/absent__us_1.ogg""]","[""https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/abs/absen/absent__gb_4.ogg""]"
absolute,absolute,adjective,b2,https://www.oxfordlearnersdictionaries.com/definition/english/absolute_1,https://dictionary.cambridge.org/dictionary/english/absolute,"[""/ˈæbsəluːt/""]","[""/ˈæbsəluːt/""]",total and complete,I've joined a class for absolute beginners.,"[""https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abs/absol/absolute__us_1_rr.ogg""]","[""https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/abs/absol/absolute__gb_1.ogg""]"
absolutely,absolutely,adverb,b1,https://www.oxfordlearnersdictionaries.com/definition/english/absolutely,https://dictionary.cambridge.org/dictionary/english/absolutely,"[""/ˈæbsəluːtli/""]","[""/ˈæbsəluːtli/""]",used to emphasize that something is completely true,You're absolutely right .,"[""https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abs/absol/absolutely__us_1_rr.ogg""]","[""https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/abs/absol/absolutely__gb_6.ogg""]"
absorb,absorb,verb,b2,https://www.oxfordlearnersdictionaries.com/definition/english/absorb,https://dictionary.cambridge.org/dictionary/english/absorb,"[""/əbˈzɔːrb/""]","[""/əbˈzɔːb/""]","to take in a liquid, gas or other substance from the surface or space around",Plants absorb carbon dioxide from the air.,"[""https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abs/absor/absorb__us_2_rr.ogg""]","[""https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/abs/absor/absorb__gb_2.ogg""]"
abstract,abstract,adjective,b2,https://www.oxfordlearnersdictionaries.com/definition/english/abstract_1,https://dictionary.cambridge.org/dictionary/english/abstract,"[""/ˈæbstrækt/""]","[""/ˈæbstrækt/""]","based on general ideas and not on any particular real person, thing or situation",abstract knowledge/principles,"[""https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abs/abstr/abstract__us_2_rr.ogg""]","[""https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/abs/abstr/abstract__gb_5.ogg""]"
absurd,absurd,adjective,c1,https://www.oxfordlearnersdictionaries.com/definition/english/absurd,https://dictionary.cambridge.org/dictionary/english/absurd,"[""/əbˈsɜːrd/""]","[""/əbˈsɜːd/""]",extremely silly; not logical and sensible,That uniform makes the guards look absurd.,"[""https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abs/absur/absurd__us_1_rr.ogg""]","[""https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/abs/absur/absurd__gb_1.ogg""]"
abundance,abundance,noun,c1,https://www.oxfordlearnersdictionaries.com/definition/english/abundance,https://dictionary.cambridge.org/dictionary/english/abundance,"[""/əˈbʌndəns/""]","[""/əˈbʌndəns/""]",a large quantity that is more than enough,The brochure promised beautiful walks with an abundance of wildlife.,"[""https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abu/abund/abundance__us_1.ogg""]","[""https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/abu/abund/abundance__gb_1.ogg""]"
abuse,abuse,noun,c1,https://www.oxfordlearnersdictionaries.com/definition/english/abuse_1,https://dictionary.cambridge.org/dictionary/english/abuse,"[""/əˈbjuːs/""]","[""/əˈbjuːs/""]",the use of something in a way that is wrong or harmful,alcohol/drug abuse,"[""https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abu/abuse/abuse__us_3.ogg""]","[""https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/abu/abuse/abuse__gb_1.ogg""]"
abuse,abuse,verb,c1,https://www.oxfordlearnersdictionaries.com/definition/english/abuse_2,https://dictionary.cambridge.org/dictionary/english/abuse,"[""/əˈbjuːz/""]","[""/əˈbjuːz/""]","to make bad use of something, or to use so much of something that it harms your health",to abuse alcohol/drugs,"[""https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abu/abuse/abuse__us_1.ogg""]","[""https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/abu/abuse/abuse__gb_2.ogg""]"
academic,academic,adjective,b1,https://www.oxfordlearnersdictionaries.com/definition/english/academic_1,https://dictionary.cambridge.org/dictionary/english/academic,"[""/ˌækəˈdemɪk/""]","[""/ˌækəˈdemɪk/""]","connected with education, especially studying in schools and universities",high/low academic standards,"[""https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/aca/acade/academic__us_2.ogg""]","[""https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/aca/acade/academic__gb_2.ogg""]"
